fecha_completa;dia;mes;anio
1984,1 de enero,Año Nuevo,Domingo;1;1;1984
1984,9 de enero,Epifanía,Lunes;9;1;1984
1984,19 de marzo,Día de San José,Lunes;19;3;1984
1984,19 de abril,Jueves Santo,Jueves;19;4;1984
1984,20 de abril,Viernes Santo,Viernes;20;4;1984
1984,1 de mayo,Día del trabajo,Martes;1;5;1984
1984,4 de junio,Ascención de Jesús,Lunes;4;6;1984
1984,25 de junio,Corpus Christi,Lunes;25;6;1984
1984,2 de julio,San Pedro y San Pablo,Lunes;2;7;1984
1984,2 de julio,Sagrado Corazón de Jesús,Lunes;2;7;1984
1984,20 de julio,Día de la independencia,Viernes;20;7;1984
1984,7 de agosto,Batalla de Boyacá,Martes;7;8;1984
1984,20 de agosto,Asunción de la Virgen,Lunes;20;8;1984
1984,15 de octubre,Día de la raza,Lunes;15;10;1984
1984,5 de noviembre,Todos los Santos,Lunes;5;11;1984
1984,12 de noviembre,Independencia de Cartagena,Lunes;12;11;1984
1984,8 de diciembre,Inmaculada Concepción,Sábado;8;12;1984
1984,25 de diciembre,Navidad,Martes;25;12;1984
1985,1 de enero,Año Nuevo,Martes;1;1;1985
1985,7 de enero,Epifanía,Lunes;7;1;1985
1985,25 de marzo,Día de San José,Lunes;25;3;1985
1985,4 de abril,Jueves Santo,Jueves;4;4;1985
1985,5 de abril,Viernes Santo,Viernes;5;4;1985
1985,1 de mayo,Día del trabajo,Miércoles;1;5;1985
1985,20 de mayo,Ascención de Jesús,Lunes;20;5;1985
1985,10 de junio,Corpus Christi,Lunes;10;6;1985
1985,17 de junio,Sagrado Corazón de Jesús,Lunes;17;6;1985
1985,1 de julio,San Pedro y San Pablo,Lunes;1;7;1985
1985,20 de julio,Día de la independencia,Sábado;20;7;1985
1985,7 de agosto,Batalla de Boyacá,Miércoles;7;8;1985
1985,19 de agosto,Asunción de la Virgen,Lunes;19;8;1985
1985,14 de octubre,Día de la raza,Lunes;14;10;1985
1985,4 de noviembre,Todos los Santos,Lunes;4;11;1985
1985,11 de noviembre,Independencia de Cartagena,Lunes;11;11;1985
1985,8 de diciembre,Inmaculada Concepción,Domingo;8;12;1985
1985,25 de diciembre,Navidad,Miércoles;25;12;1985
1986,1 de enero,Año Nuevo,Miércoles;1;1;1986
1986,6 de enero,Epifanía,Lunes;6;1;1986
1986,24 de marzo,Día de San José,Lunes;24;3;1986
1986,27 de marzo,Jueves Santo,Jueves;27;3;1986
1986,28 de marzo,Viernes Santo,Viernes;28;3;1986
1986,1 de mayo,Día del trabajo,Jueves;1;5;1986
1986,12 de mayo,Ascención de Jesús,Lunes;12;5;1986
1986,2 de junio,Corpus Christi,Lunes;2;6;1986
1986,9 de junio,Sagrado Corazón de Jesús,Lunes;9;6;1986
1986,30 de junio,San Pedro y San Pablo,Lunes;30;6;1986
1986,20 de julio,Día de la independencia,Domingo;20;7;1986
1986,7 de agosto,Batalla de Boyacá,Jueves;7;8;1986
1986,18 de agosto,Asunción de la Virgen,Lunes;18;8;1986
1986,13 de octubre,Día de la raza,Lunes;13;10;1986
1986,3 de noviembre,Todos los Santos,Lunes;3;11;1986
1986,17 de noviembre,Independencia de Cartagena,Lunes;17;11;1986
1986,8 de diciembre,Inmaculada Concepción,Lunes;8;12;1986
1986,25 de diciembre,Navidad,Jueves;25;12;1986
1987,1 de enero,Año Nuevo,Jueves;1;1;1987
1987,12 de enero,Epifanía,Lunes;12;1;1987
1987,23 de marzo,Día de San José,Lunes;23;3;1987
1987,16 de abril,Jueves Santo,Jueves;16;4;1987
1987,17 de abril,Viernes Santo,Viernes;17;4;1987
